"","x"
"MNT",0.133903710357163
"MSC",2.06687714980005
"MSX1",1.09829523167467
"MSX2",0.804591591702885
"MTA1",0.746705301080582
"MTA2",0.411886863828798
"MTF1",0.304725735733013
"MTF2",0.599445714692073
"MXD1",0.304408316008619
"MXD3",0.675236676324086
"MXD4",0.0206477730888279
"MXI1",0.363938927285036
"MYB",0.661442882059562
"MYBL1",1.49250573409885
"MYBL2",2.59209015232109
"MYC",0.0699335706044399
"MYCN",0.327331467235584
"MYF5",0.468303402223227
"MYF6",2.24055573471547
"MYOD1",0.970390318406676
"MYOG",1.21923691056981
"MYT1",1.05630389145496
"MZF1",0.0101004332166426
"NCOA1",0.778376493562628
"NCOA2",0.548429186110868
"NCOA3",0.577035370904364
"NCOA4",0.399563822234018
"NCOA5",0.269922703183609
"NCOA6",0.437060623300106
"NCOR1",0.158723698125422
"NCOR2",0.360809582817419
"NEUROD1",0.288203895122828
"NEUROD2",1.01797288294512
"NEUROD6",0.273729113077045
"NEUROG1",0.512513251518796
"NEUROG2",0.921708432212106
"NFAT5",0.11859309778269
"NFATC1",0.481869563471648
"NFATC2",0.955643603426484
"NFATC3",0.138668922697962
"NFATC4",0.662109251231909
"NFE2",1.08626323421471
"NFE2L1",0.562142716639562
"NFE2L2",0.257329281143448
"NFE2L3",1.50170936548146
"NFIA",0.947589201226207
"NFIB",0.811453459196673
"NFIC",0.948056324280139
"NFIL3",0.412979181418278
"NFIX",1.59288420929484
"NFKB1",0.202338574957658
"NFKB2",0.783393485595571
"NFKBIA",0.491986883468659
"NFKBIB",0.418556197682761
"NFKBIE",0.978792934240946
"NFKBIZ",0.577153173966781
"NFRKB",0.0276673565382257
"NFX1",0.00865661860576683
"NFYA",0.635755803662915
"NFYB",0.349232471677528
"NFYC",0.0284465201091111
"NHLH1",0.365279444376077
"NHLH2",0.455947964107779
"NKRF",0.57515946451088
"NKX2-1",0.965953381335485
"NKX2-2",1.67543743095242
"NKX2-5",0.601437790932657
"NKX3-1",0.496196005941695
"NOC4L",0.663468183697592
"NONO",0.62155799348567
"NPAS2",0.497734477184528
"NPAS4",0.14344184001339
"NR0B1",0.388497399428236
"NR0B2",0.365408303356326
"NR1D1",0.38342208266162
"NR1D2",0.551006175595211
"NR1H2",0.23697515718225
"NR1H3",0.471391799083029
"NR1H4",0.36317977185934
"NR1I2",0.113414882008446
"NR1I3",0.0909312636375095
"NR2C1",0.539460722514298
"NR2C2",0.020341077095499
"NR2F1",0.222160077664682
"NR2F2",0.0665286063203565
"NR2F6",0.0821535109603166
"NR3C1",0.380306816038718
"NR3C2",2.98042186438607
"NR4A1",1.22077505088844
"NR4A2",1.1066415091608
"NR4A3",0.994395833784846
"NR5A1",1.96430550552911
"NR5A2",0.0512823761645117
"NR6A1",0.357245494533613
"NRF1",0.238235564332204
"NRL",0.0895049466857771
"OLIG2",0.764490315345944
"OLIG3",0.204453491947027
"ONECUT1",1.29527586323475
"OSR1",1.83715656796711
"OTX1",0.15516250510598
"OTX2",0.117894876327077
"PARP1",0.777128941645182
"PATZ1",0.303225096718083
"PAWR",0.801481687851911
"PAX1",2.74107746450498
"PAX2",0.467823406600766
"PAX3",0.37324855406862
"PAX5",1.98898868456303
"PAX6",0.67837304289349
"PAX7",0.840105831247872
"PAX8",0.367503151297741
